State,District,Latitude,Longitude,District code,Population,Households with Internet,Non Workers,Cultivator Workers,Agricultural Workers,Household Workers,Other Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others Religions,Below Primary Education,Primary Education,Middle Education,Secondary Education,Higher Education,Graduate Education,Other Education,sex ratio,Literacy Rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,5512,1417572,363737,484912,84661,390357,2399901,275970,15422,1377,25510,617,322,232470,344167,281752,225957,143143,100226,19277,100.0,54.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,8606,2044982,413253,879537,105343,638033,3599372,443456,20463,932,341,1417,309,462273,720357,582075,331793,162175,144915,23341,98.0,57.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,13763,2240707,434544,748093,57269,693451,3737588,397870,24129,867,253,1322,358,522961,770836,673197,548336,265199,246409,36017,100.0,64.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,22411,3060615,160407,1122046,57853,753375,4983330,77777,77825,738,413,4149,403,669420,947606,797497,521562,271809,263023,47702,101.0,64.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,19383,2506189,302341,1227956,47436,803891,4217597,559770,89763,764,323,3282,332,736270,845810,674957,453446,246580,221924,30279,100.0,61.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,149034,2530026,28308,23029,46157,1315803,2046051,1713405,87522,11446,1268,19560,1929,230962,596591,685215,811501,517425,558090,45937,95.0,73.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,8831,1899501,360390,756859,168340,591179,3491139,244723,24979,2086,332,312,115,340372,453505,482842,463403,293493,256633,35312,101.0,58.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,8628,1387308,224972,804537,19799,360754,2595321,158887,33463,655,217,459,539,295639,346118,329630,238811,154774,160804,25456,101.0,58.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,30438,2468518,150166,1006976,48444,843294,4023678,307043,145598,1393,863,6320,906,618101,692968,630603,531821,312753,328454,54728,99.0,67.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,10081,2024038,310954,1037302,60791,620378,3328380,670737,33165,737,255,2235,434,521327,672951,466940,271828,152453,115504,19282,99.0,52.0
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,6153,1970527,569142,931084,57846,524429,3673456,334172,21345,658,290,388,267,419379,596134,441585,308575,169083,98227,16121,98.0,48.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,8635,1591085,353221,571129,67642,450211,2637313,342449,34301,1309,554,457,217,324267,503713,481984,373729,201928,127493,16466,99.0,54.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,7715,1747116,325224,863131,45124,508214,3249231,188646,35025,937,241,250,132,369537,518669,471233,367424,238695,196134,27003,98.0,57.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,5261,1290259,278102,448281,171311,363382,2123426,391596,19653,2357,1847,542,146,269487,421399,338668,396396,223365,141850,13382,104.0,54.0
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,6151,1696881,280029,889218,42603,488717,3150195,220654,18775,266,97,204,206,489805,495556,368919,249034,142026,133627,21976,98.0,56.0
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,3988,1412826,165317,700833,34479,389659,2666950,9025,18879,193,77,160,106,291793,348354,319244,251521,146721,121213,21031,101.0,55.0
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,4453,1186512,212285,557254,27469,360954,2299129,16423,17853,380,114,815,183,250446,300057,257468,186576,115144,103591,27041,102.0,53.0
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,12952,1806921,401646,758092,43550,502367,3273755,197333,31377,1453,253,569,126,314252,457529,454322,430242,279234,248942,27663,100.0,59.0
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,12050,2163854,155275,1061787,33861,522189,3733191,86142,109120,288,209,1578,211,595331,718960,585595,415178,215863,207586,33329,100.0,67.0
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,170,85260,39732,4208,496,18530,47683,2134,35969,94,50381,95,11738,20425,22537,17354,10032,5641,3633,834,93.0,49.0
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,57,46980,21835,1063,273,8539,12333,652,37136,36,452,23,27868,11713,10487,8852,6213,4510,2330,142,103.0,49.0
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,450,58992,20185,3565,493,15979,27854,2289,18254,69,776,30,49393,9938,13713,13968,10937,9498,6540,525,98.0,63.0
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,95,54032,27417,2947,833,6847,4859,471,51189,43,121,81,34158,12661,15054,12264,6997,4353,2031,299,103.0,40.0
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,312,84781,29909,7789,786,22461,99020,3846,10684,210,24452,104,7277,19306,25179,20643,13070,7612,5180,584,91.0,57.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,207,31754,9687,3354,233,9052,28915,2247,9213,33,2932,19,10393,5875,7957,7351,5508,3570,2795,85,93.0,59.0
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,381,52828,13656,1968,435,14143,9551,1482,34402,27,193,13,37085,8492,10821,11661,9861,7674,5230,295,98.0,65.0
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,2477,110801,14104,1859,1543,48266,57027,6148,84397,310,4768,139,22586,15368,21956,21376,20007,17342,13840,926,98.0,69.0
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,96,21416,7631,1581,114,19235,11842,787,776,1164,34920,72,349,4904,4730,4029,2140,1989,1379,667,71.0,52.0
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,98,61806,35967,1811,836,11555,20682,1103,83361,61,778,43,5325,13585,16989,12077,7834,4305,2134,182,94.0,43.0
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,97,17676,9976,804,591,6273,5261,411,5643,27,2577,7,20967,3952,5584,4915,2935,2211,1349,46,89.0,52.0
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,139,50078,21690,1846,481,9353,13474,521,8779,28,297,11,59449,10219,16118,15339,10348,8017,4276,473,100.0,54.0
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,202,41454,14476,1705,801,25511,31265,1970,8466,328,36087,71,5556,8836,10317,8428,5633,3987,2693,299,82.0,58.0
